Symbol,CompanyName,Exchange,Currency,LastPrice,Chg%,50-DMA,200-DMA,AvgVol(3m),AvgVol(10day),52-WkHigh,52-WkLow,SharesOut(millions),MarketCap(millions),BookVal,Price/Book,Price/Sales,TrailingP/E,ForwardP/E,EBITDA(millions),Div/Share,TrailingAnnualDivYield,ForwardAnnualDivYield,EPSCurrentYear,EPSEstNextYear,PEGRatio(5yrexpected)
WFC-PQ,WellsFargo&Company,NYQ,USD,23.5,-0.30%,23.04,24.17,"343,364","257,460",26.91,22.22,4707,188878,41.31,0.57,2.51,4.86,,,0,0.04,0.06,,,
WFC-PY,WellsFargo&Company,NYQ,USD,22.94,0.61%,22.42,23.95,"80,619","73,150",25.92,21.02,4707,187313,41.31,0.56,2.49,4.75,,,0,0.04,0.06,,,
WFC,WellsFargo&Company,NYQ,USD,47.55,-0.83%,43.83,45.72,17.062M,20.19M,60.3,36.54,3810,181189,41.31,1.15,2.41,12.35,9.32,,1,0.02,0.03,3.71,5.1,1.94
MS,MorganStanley,NYQ,USD,90.78,2.23%,82.9,85.4,7.929M,7.535M,109.73,72.05,1690,153428,54.46,1.67,2.78,13.18,12.12,,2.88,0.03,0.03,6.42,7.49,9.16
SCHW,TheCharlesSchwabCorporation,NYQ,USD,78.36,-0.25%,73.84,73.89,7.587M,7.553M,96.24,59.35,1816,146278,19.61,4,7.32,23.75,16.19,,0.8,0.01,0.01,3.92,4.84,0.92
C-PJ,CitigroupInc.,NYQ,USD,25.32,-0.47%,25.39,25.92,"136,122","355,944",27.9,24.88,2442,143725,92.71,0.27,2.03,2.98,,,0,0.08,0.07,,,
RY,RoyalBankofCanada,NYQ,USD,99.28,1.12%,92.54,100.7,"781,989","656,630",119.41,83.63,1392,138169,69.44,1.43,2.82,12.05,11.02,,4.76,0.05,0.04,8.45,9.01,1.39
BX,BlackstoneInc.,NYQ,USD,108.77,5.07%,90.62,105.35,4.121M,4.834M,149.78,79.55,701.78,130623,10.7,10.17,11.05,30.81,20.14,,5.13,0.05,0.05,5.15,5.4,1.36
GS,"TheGoldmanSachsGroup,Inc.",NYQ,USD,385.17,1.81%,325.1,325.42,2.206M,2.972M,412.66,277.84,338.64,130432,305.85,1.26,2.76,10.25,10.25,,8.5,0.02,0.03,34.24,37.59,-1.21
HDB,HDFCBankLimited,NYQ,USD,68.44,2.62%,61.54,60.22,1.413M,1.392M,72.34,50.61,1858,127167,232.9,0.29,0.13,26.42,20.07,,19.46,,0.01,2.88,3.41,1.17
TD,TheToronto-DominionBank,NYQ,USD,66.66,-0.46%,63.75,70.5,1.787M,1.507M,86.02,57.27,1813,120861,53.5,1.25,2.76,11.26,9.9,,3.46,0.05,0.04,6.21,6.73,2.68
BLK,"BlackRock,Inc.",NYQ,USD,774.75,1.97%,620.57,669.3,"832,276","979,010",971.5,503.12,150.2,116364,246.99,3.14,6.24,21.34,23.18,7418,18.77,0.02,0.03,34.1,33.42,-21.22
SPGI,S&PGlobalInc.,NYQ,USD,356.2,2.89%,322.44,359.09,1.812M,1.734M,484.21,279.32,325.8,116050,114.08,3.12,11.23,30.44,27.81,4948,3.24,0.01,0.01,11.12,12.81,3.76
AXP,AmericanExpressCompany,NYQ,USD,154.89,0.09%,145.98,161.98,3.131M,3.346M,199.55,130.65,747.23,115739,32.05,4.83,2.33,15.54,14.6,,1.47,0.01,0.01,9.98,10.61,2.07
PYPL,"PayPalHoldings,Inc.",NMS,USD,91.03,4.87%,87.69,93.28,13.589M,20.134M,215.97,67.58,1140,103777,17.67,5.15,3.84,39.93,19.12,4772,0,,,4.07,4.76,1.85
CB,ChubbLimited,NYQ,USD,206.26,-2.67%,194.99,200.01,1.598M,2.089M,218.99,173.78,415.05,85608,114.79,1.8,2.05,14.37,11.44,7337,3.26,0.02,0.02,15.44,18.03,0.81
