Symbol,CompanyName,Exchange,Currency,LastPrice,Chg%,50-DMA,200-DMA,AvgVol(3m),AvgVol(10day),52-WkHigh,52-WkLow,SharesOut(millions),MarketCap(millions),BookVal,Price/Book,Price/Sales,TrailingP/E,ForwardP/E,EBITDA(millions),Div/Share,TrailingAnnualDivYield,ForwardAnnualDivYield,EPSCurrentYear,EPSEstNextYear,PEGRatio(5yrexpected)
F,FordMotorCompany,NYQ,USD,14.5,2.26%,13.1,14.46,67.17M,60.695M,25.87,10.61,3950,58297,10.48,1.38,0.38,6.47,8.48,16683,0.45,0.03,0.04,1.99,1.71,0.52
MAR,"MarriottInternational,Inc.",NMS,USD,163.78,3.67%,150.5,159.62,2.002M,2.393M,195.9,131.01,316.54,51843,3.33,49.2,10.53,25,21.58,3350,0.6,0,0.01,6.56,7.59,0.55
ORLY,"O'ReillyAutomotive,Inc.",NMS,USD,815.6,-3.35%,745.68,687.38,"477,482","482,300",848.65,562.9,62.58,51037,-19.2,-42.49,3.63,25.79,21.99,3309,0,,,32.79,37.09,2.36
MELI,"MercadoLibre,Inc.",NMS,USD,974.89,4.21%,881.62,914.37,"662,107","848,200",1642.61,600.68,50.3,49032,32.43,30.06,5.07,174.4,69.64,1068,0,,,8.4,14,0.83
RACE,FerrariN.V.,NYQ,USD,216.86,1.91%,193.04,201.57,"343,706","409,700",278.78,167.45,182.42,39559,13.17,16.47,8.07,42.11,36.57,1433,1.36,0.01,0.01,4.97,5.93,3.28
HLT,HiltonWorldwideHoldingsInc.,NYQ,USD,140.63,2.94%,127.97,135.05,1.939M,2.294M,167.99,108.41,270.46,38034,-3.36,-41.83,11.05,36.62,25.57,2108,0.3,0,0,4.51,5.5,0.67
YUM,"Yum!Brands,Inc.",NYQ,USD,123.33,-0.64%,113.33,116.86,1.786M,2.232M,139.85,103.97,281.69,34741,-30.08,-4.1,5.18,28.09,24.23,2242,2.21,0,0.02,4.44,5.09,2.88
ROST,"RossStores,Inc.",NMS,USD,96.17,-0.99%,89.06,88.5,2.524M,2.735M,123.36,69.24,347.06,33377,11.87,8.1,1.8,22.79,20.2,2373,1.19,0.01,0.01,4.01,4.76,3.78
DHI,"D.R.Horton,Inc.",NYQ,USD,84.92,1.19%,72.49,74.71,3.039M,3.882M,110.45,59.25,343.95,29208,56.39,1.51,0.87,5.14,8.24,7737,0.88,0.01,0.01,10.56,10.3,-0.77
QSR,RestaurantBrandsInternationalInc.,NYQ,USD,60.72,-1.86%,57.25,55.68,1.384M,1.699M,62.17,46.68,305.91,27142,7.56,8.03,4.27,19.71,20.11,2219,2.15,0.03,0.04,3.15,3.02,2.59
EBAY,eBayInc.,NMS,USD,46.51,4.14%,39.97,47.67,5.966M,7.659M,76.58,35.92,542.66,25239,8.92,5.21,2.55,2.51,10.97,2932,0.84,0.02,0.02,4.11,4.24,2.07
GPC,GenuinePartsCompany,NYQ,USD,177.96,-2.33%,162.41,142.49,"940,867","977,480",183.48,115.63,141.16,25121,26,6.85,1.18,21.39,20.72,2104,3.5,0.02,0.02,8.17,8.59,4.85
